variety_name,plant_latin_name,region,type,part_used,olfactive_signature,dominant_molecules,climatic_axis,harvest_period,notes
Cannabis — profil caryophyllène sec,Cannabis sativa,Colombie,profil terpénique,fleur,"boisé sec, poivré léger",beta-caryophyllene; humulene,bois; disparition,variable,Favorise structure plutôt que signature.
Cannabis — feuille-dominant (discret),Cannabis sativa,Burkina Faso,usage matière,feuille,"herbacé sec, rapide, non collant",terpinolene; pinene(s),vent; disparition,variable,Pertinent pour encens/espace; faible charge narrative.
Cannabis — profil limonène clair,Cannabis sativa,Caraïbes,profil terpénique,fleur,"agrume sec, aéré, clair",limonene; beta-caryophyllene,vent,variable,Utile en micro-dose pour 'vent social'.
Cannabis — profil appauvri (fantôme),Cannabis sativa,Concept (recherche),concept,fleur,"absence perceptible, résidu",traces terpéniques,disparition,variable,Objet d’archive/reconstruction: pas un standard olfactif.
Lippia alba — chémotype citral,Lippia alba,Colombie,chémotype,feuille,"citron sec, herbacé",geranial; neral,vent,été,Coupe aérienne; attention dérive savon si surdosage.
Lippia alba — chémotype carvone,Lippia alba,Colombie,chémotype,feuille,"menthé sec, anisé léger",carvone; limonene,vent,été,Vent menthé; très différent du citral.
Lippia alba — chémotype linalool (probable),Lippia alba,Colombie,chémotype,feuille,"floral sec, propre, doux",linalool; limonene (variable),peau; vent,été,À confirmer par analyse locale (GC-MS).
Lippia origanoides — chémotype thymol,Lippia origanoides,Colombie,chémotype,feuille,"sec, thym médicinal",thymol; p-cymene,bois,variable,Micro-dose pour éviter effet cuisine.
Lippia origanoides — chémotype carvacrol,Lippia origanoides,Colombie,chémotype,feuille,"origan sec, phénolique",carvacrol; p-cymene,bois,variable,Structure encens; très puissant.
Lippia origanoides — chémotype mixte (thymol/carvacrol),Lippia origanoides,Colombie,chémotype,feuille,"phénolique sec, herbacé",thymol; carvacrol,bois,variable,Profil souvent fluctuant selon parcelle/saison = fantôme.
Lippia multiflora — chémotype citral,Lippia multiflora,Burkina Faso,chémotype,feuille,thé citronné sec,geranial; neral,vent,saison des pluies,Vent habité; bon pont avec San Andrés.
Lippia multiflora — chémotype carvone,Lippia multiflora,Burkina Faso,chémotype,feuille,"menthé sec, herbacé",carvone; limonene,vent,saison des pluies,Alternative 'vent menthé' (moins savon).
Cymbopogon citratus — citral net,Cymbopogon citratus,Caraïbes/Colombie,espèce,feuille,"citron sec, net",geranial; neral,vent,variable,Très lisible; utiliser en trace pour rester non narratif.
Cymbopogon giganteus — profil moins citral,Cymbopogon giganteus,Burkina Faso,espèce,feuille,"citron sec, camphré léger, aéré",monoterpenes (variable),vent,variable,Moins ‘savon’ que citratus; bon pour encens.
Cymbopogon — feuille sèche (poudre),Cymbopogon citratus,Caraïbes/Colombie,état botanique,feuille,citron sec très court,geranial; neral,vent; disparition,variable,"Pour encens: combustion courte, purge."
Pimenta racemosa — feuille (bay rum) claire,Pimenta racemosa,Caraïbes,profil,feuille,"épice feuille chaude, baie",eugenol; myrcene,bois; vent,variable,Support épicé sec (micro-dose).
Pimenta racemosa — feuille plus chavicol (probable),Pimenta racemosa,Caraïbes,profil,feuille,"épice verte, plus herbacée",chavicol; eugenol (variable),bois; vent,variable,À confirmer: utile pour réduire le ‘clou’ trop évident.
Pimenta dioica — baie sèche,Pimenta dioica,Caraïbes,partie,fruit,"épice sèche, clou/baie","eugenol; 1,8-cineole (variable)",bois,variable,Très culinaire si surdosé: traiter en trace.
Tagetes minuta — profil tagetone,Tagetes minuta,Colombie,chémotype,feuille/fleur,vert-fruité métallique,tagetone; dihydrotagetone,vent,variable,"Puissant, peut devenir agressif: micro-dose."
Tagetes minuta — profil ocimène (probable),Tagetes minuta,Colombie,chémotype,feuille/fleur,"vert plus aéré, moins métallique",ocimene; tagetone (variable),vent,variable,À confirmer par analyse locale.
Piper aduncum — profil dillapiole,Piper aduncum,Colombie,chémotype,feuille,"vert épicé, médicinal",dillapiole,vent,variable,Très variable selon site; documenter provenance.
"Piper aduncum — profil 1,8-cineole (probable)",Piper aduncum,Colombie,chémotype,feuille,"camphré vert, plus clair","1,8-cineole (variable)",vent,variable,Hypothèse: à confirmer GC-MS.
Culantro — feuille jeune,Eryngium foetidum,Caraïbes/Colombie,stade feuille,feuille,"vert coriandre métallique, vif",E-2-dodecenal,vent,variable,Aldéhydes très puissants: trace.
Culantro — feuille mature,Eryngium foetidum,Caraïbes/Colombie,stade feuille,feuille,"vert plus sec, moins brillant",E-2-dodecenal (moins); aldéhydes,vent,variable,"Plus ‘sec’, meilleur pour encens."
Feuille de goyave — jeune feuille,Psidium guajava,Caraïbes/Colombie,stade feuille,feuille,"vert médicinal, fruit sec léger",cis-3-hexenol (traces); terpenes (variables),vent,variable,Bon candidat fantôme (stade feuille).
Feuille de goyave — feuille mature,Psidium guajava,Caraïbes/Colombie,stade feuille,feuille,"feuille sèche, plus terne",terpenes (variables),vent; disparition,variable,À comparer avec jeune feuille en protocole espace.
Boswellia dalzielii — résine fraîche,Boswellia dalzielii,Burkina Faso,état matière,résine,"encens clair, citronné, vif",alpha-pinene; limonene,vent,saison sèche,Marqueurs monoterpéniques typiques; varie selon arbre.
Boswellia dalzielii — résine vieillie (oxydée),Boswellia dalzielii,Burkina Faso,état matière,résine,"encens plus sec, plus boisé",monoterpenes (resin mix); sesquiterpenes (resin mix),bois; disparition,saison sèche,Oxydation = temporalité; intéressant pour 'disparition'.
Commiphora africana — résine fraîche,Commiphora africana,Burkina Faso,état matière,résine,"résine amère, cuir léger",sesquiterpenes (resin mix),bois,saison sèche,Identité locale parfois confuse: documenter source.
Commiphora africana — résine chauffée douce,Commiphora africana,Burkina Faso,procédé,résine,"cireux, ambré sec",sesquiterpenes (resin mix),bois; peau,saison sèche,Chauffe légère pour réduire amertume (sans caraméliser).
Protium — breu frais,Protium heptaphyllum,Colombie/Amazonie,état matière,résine,"encens clair, piné, citron",alpha-pinene; limonene,vent,variable,Souvent vendu sous noms génériques: vérifier.
Protium — breu vieilli,Protium heptaphyllum,Colombie/Amazonie,état matière,résine,"plus boisé, moins brillant",monoterpenes (resin mix); sesquiterpenes (resin mix),bois; disparition,variable,Temporalité d’oxydation: bon pont avec tabac.
Daniellia — résine fraîche,Daniellia oliveri,Burkina Faso,état matière,résine,"copal clair, sec",monoterpenes (resin mix),vent,saison sèche,Souvent appelée ‘copal’: identité à confirmer.
Daniellia — résine soleil (vieillie),Daniellia oliveri,Burkina Faso,état matière,résine,"copal plus boisé, poussière",sesquiterpenes (resin mix),bois; disparition,saison sèche,Vieillissement = accent ‘Sahel’.
Bursera simaruba — résine claire,Bursera simaruba,Caraïbes/Colombie,état matière,résine,"résine claire, bois, citron discret",alpha-pinene; limonene,vent; bois,variable,Potentiel ‘résine fantôme’ caribéenne.
Bursera simaruba — bois chauffé,Bursera simaruba,Caraïbes/Colombie,procédé,bois,"bois sec, plus chaud, moins brillant",sesquiterpenes (resin mix),bois,variable,Pour installation: matière plutôt que diffusion.
Copaïba — oléorésine claire,Copaifera officinalis,Colombie/Amazonie,profil,oléorésine,"résine douce, bois clair",beta-caryophyllene; alpha-humulene,bois,variable,Profil stable; utile en micro-dose.
Copaïba — fraction plus caryophyllène,Copaifera officinalis,Colombie/Amazonie,profil,oléorésine,boisé sec plus net,beta-caryophyllene,bois,variable,Intérêt comparatif (structure).
Balsamier — baume frais,Myroxylon balsamum,Colombie,état matière,baume,"baume chaud, cuir léger",benzyl benzoate; benzyl cinnamate,peau; bois,variable,Marqueurs de baume; composition varie.
Balsamier — baume vieilli,Myroxylon balsamum,Colombie,état matière,baume,"plus sec, plus résineux",benzyl benzoate (dominant),peau; disparition,variable,Vieillissement = diminution des notes vives.
Tonka — fève fraîche,Dipteryx odorata,Colombie/Amazonie,état matière,graine,"foin sec, amande",coumarin (marqueur),bois; disparition,Décembre–Mars,Micro-dose pour éviter gourmand.
Tonka — fève vieillie (cave sèche),Dipteryx odorata,Colombie/Amazonie,état matière,graine,"plus sèche, plus tabac clair",coumarin (marqueur),bois; disparition,Décembre–Mars,Vieillissement = accent ‘architecture du temps’.
Aniba — bois à linalool (profil clair),Aniba perutilis,Colombie,profil,bois,"bois floral propre, humide",linalool,peau; vent,variable,Espèce rare: privilégier alternatives/sourcing éthique.
Aniba — profil plus terpénique (hyp.),Aniba perutilis,Colombie,profil,bois,"bois plus vert, moins floral",linalool (moins); monoterpenes (variable),vent,variable,Hypothèse à confirmer; utile pour ‘vent’ sans floral.
Gaïac — bois (cireux),Guaiacum officinale,Caraïbes,partie,bois,"bois cireux, fumé doux",guaiol; sesquiterpenes (variable),bois; disparition,variable,Espèce menacée: sourcing très prudent.
Amyris — profil elemol lourd,Amyris balsamifera,Caraïbes,profil,bois,"bois doux, sec, dense",elemol; valerianol,bois,variable,Bonne base ‘bois ventilé’ sans sucré.
Amyris — profil plus léger (hyp.),Amyris balsamifera,Caraïbes,profil,bois,"bois plus clair, plus aéré",sesquiterpenes (variable),vent; bois,variable,Hypothèse: dépend de provenance/distillation.
Canella — écorce plus eugenol (hyp.),Canella winterana,Caraïbes,chémotype,écorce,"cannelle salée, poivrée",eugenol (variable),bois; vent,variable,À confirmer; utile pour épice sèche sans sucre.
Canella — écorce plus cinnamaldéhyde (hyp.),Canella winterana,Caraïbes,chémotype,écorce,cannelle sèche plus chaude,cinnamaldehyde (variable),bois,variable,À confirmer; micro-dose pour éviter gourmand.
Xylopia — fruits secs (poivre de Guinée),Xylopia aethiopica,Burkina Faso,partie,fruit,"poivré sec, fumigation","beta-pinene; sabinene; 1,8-cineole (variable)",bois,variable,Excellent pour encens sec; éviter effet cuisine.
