plant_latin_name,plant_name,molecule_name,weight,evidence,notes
Canella winterana,Canella (écorce),eugenol,dominant,littérature/typologie (à confirmer),Profil moléculaire variable: confirmer par analyse locale.
Canella winterana,Canella (écorce),cinnamaldehyde,dominant,littérature/typologie (à confirmer),Profil moléculaire variable: confirmer par analyse locale.
Pimenta dioica,Pimenta dioica (allspice),eugenol,dominant,littérature/typologie (à confirmer),Très puissant: limiter pour éviter effet cuisine.
Pimenta dioica,Pimenta dioica (allspice),myrcene,dominant,littérature/typologie (à confirmer),Très puissant: limiter pour éviter effet cuisine.
Pimenta dioica,Pimenta dioica (allspice),"1,8-cineole",secondary,littérature/typologie (à confirmer),Très puissant: limiter pour éviter effet cuisine.
Bursera simaruba,Bois de mastic caribéen,alpha-pinene,dominant,littérature/typologie (à confirmer),Souvent non distillé en parfumerie: potentiel de 'résine fantôme'.
Bursera simaruba,Bois de mastic caribéen,limonene,dominant,littérature/typologie (à confirmer),Souvent non distillé en parfumerie: potentiel de 'résine fantôme'.
Bursera simaruba,Bois de mastic caribéen,résines,secondary,littérature/typologie (à confirmer),Souvent non distillé en parfumerie: potentiel de 'résine fantôme'.
Boswellia dalzielii,Encens ouest-africain,alpha-pinene,dominant,littérature/typologie (à confirmer),Composition donnée = profil monoterpénique typique; varie fortement.
Boswellia dalzielii,Encens ouest-africain,limonene,dominant,littérature/typologie (à confirmer),Composition donnée = profil monoterpénique typique; varie fortement.
Boswellia dalzielii,Encens ouest-africain,monoterpenes (resin mix),secondary,littérature/typologie (à confirmer),Composition donnée = profil monoterpénique typique; varie fortement.
Commiphora africana,Myrrhe africaine,sesquiterpenes (resin mix),dominant,littérature/typologie (à confirmer),Profil chimique très variable selon espèce/zone: à analyser (GC-MS).
Commiphora africana,Myrrhe africaine,résines aromatiques,dominant,littérature/typologie (à confirmer),Profil chimique très variable selon espèce/zone: à analyser (GC-MS).
Xylopia aethiopica,Poivre de Guinée (fruit),beta-pinene,dominant,littérature/typologie (à confirmer),Olfaction très 'sec': excellent pour encens non sucré.
Xylopia aethiopica,Poivre de Guinée (fruit),sabinene,dominant,littérature/typologie (à confirmer),Olfaction très 'sec': excellent pour encens non sucré.
Xylopia aethiopica,Poivre de Guinée (fruit),"1,8-cineole",secondary,littérature/typologie (à confirmer),Olfaction très 'sec': excellent pour encens non sucré.
Lippia multiflora,Lippia d'Afrique de l'Ouest,geranial,dominant,littérature/typologie (à confirmer),Chémotypes multiples: bon modèle de 'variété fantôme'.
Lippia multiflora,Lippia d'Afrique de l'Ouest,neral,dominant,littérature/typologie (à confirmer),Chémotypes multiples: bon modèle de 'variété fantôme'.
Lippia multiflora,Lippia d'Afrique de l'Ouest,limonene,secondary,littérature/typologie (à confirmer),Chémotypes multiples: bon modèle de 'variété fantôme'.
Lippia multiflora,Lippia d'Afrique de l'Ouest,carvone,secondary,littérature/typologie (à confirmer),Chémotypes multiples: bon modèle de 'variété fantôme'.
Cymbopogon giganteus,Citronnelle africaine,p-menthadienol,dominant,littérature/typologie (à confirmer),Moins 'citral' que C. citratus: intéressant pour éviter l’effet savon.
Cymbopogon giganteus,Citronnelle africaine,limonene,dominant,littérature/typologie (à confirmer),Moins 'citral' que C. citratus: intéressant pour éviter l’effet savon.
Cymbopogon giganteus,Citronnelle africaine,monoterpenes (resin mix),secondary,littérature/typologie (à confirmer),Moins 'citral' que C. citratus: intéressant pour éviter l’effet savon.
Ocimum gratissimum,Basilic clou de girofle,eugenol,dominant,littérature/typologie (à confirmer),Deux grands chémotypes (eugenol vs thymol): documenter localement.
Ocimum gratissimum,Basilic clou de girofle,thymol,dominant,littérature/typologie (à confirmer),Deux grands chémotypes (eugenol vs thymol): documenter localement.
Hyptis suaveolens,Hyptis (menthe sauvage),"1,8-cineole",dominant,littérature/typologie (à confirmer),Profil extrêmement variable selon saison.
Hyptis suaveolens,Hyptis (menthe sauvage),sabinene,dominant,littérature/typologie (à confirmer),Profil extrêmement variable selon saison.
Hyptis suaveolens,Hyptis (menthe sauvage),monoterpenes (resin mix),secondary,littérature/typologie (à confirmer),Profil extrêmement variable selon saison.
Cyperus articulatus,Priprioca (rhizome),sesquiterpenes (resin mix),dominant,littérature/typologie (à confirmer),Nom vernaculaire variable; confirmer espèce exacte au terrain.
Chrysopogon nigritanus,Vétiver ouest-africain,khusimol,dominant,littérature/typologie (à confirmer),Souvent éclipsé par C. zizanioides: potentiel 'fantôme' régional.
Chrysopogon nigritanus,Vétiver ouest-africain,vetiverol,dominant,littérature/typologie (à confirmer),Souvent éclipsé par C. zizanioides: potentiel 'fantôme' régional.
Chrysopogon nigritanus,Vétiver ouest-africain,sesquiterpenes (resin mix),secondary,littérature/typologie (à confirmer),Souvent éclipsé par C. zizanioides: potentiel 'fantôme' régional.
Securidaca longepedunculata,Violet tree (racine),methyl salicylate,dominant,littérature/typologie (à confirmer),Odeur très caractéristique; usage en trace pour éviter effet liniment.
Silphium sp.,Silphium (disparu),profil résineux supposé,dominant,littérature/typologie (à confirmer),Espèce considérée disparue; entrée = objet d’archive/reconstruction (pas sourcing).
Daniellia oliveri,Maripa (résine/copal),sesquiterpenes (resin mix),dominant,littérature/typologie (à confirmer),Résine locale parfois appelée copal: identité à vérifier au marché.
Daniellia oliveri,Maripa (résine/copal),résines aromatiques,dominant,littérature/typologie (à confirmer),Résine locale parfois appelée copal: identité à vérifier au marché.
Psidium guajava,Feuille de goyave,aldehydes,dominant,littérature/typologie (à confirmer),Très dépendant du stade feuille: bon candidat 'fantôme'.
Psidium guajava,Feuille de goyave,terpenes,dominant,littérature/typologie (à confirmer),Très dépendant du stade feuille: bon candidat 'fantôme'.
Pimenta racemosa,Bay rum (feuille),eugenol,dominant,littérature/typologie (à confirmer),Très bon marqueur caribéen; micro-dose pour éviter effet 'clou'.
Pimenta racemosa,Bay rum (feuille),myrcene,dominant,littérature/typologie (à confirmer),Très bon marqueur caribéen; micro-dose pour éviter effet 'clou'.
Pimenta racemosa,Bay rum (feuille),chavicol,secondary,littérature/typologie (à confirmer),Très bon marqueur caribéen; micro-dose pour éviter effet 'clou'.
