evidence_id,molecule_id,molecule_name,marker_type,process_context,method,time_context,region_context,entity_type,entity_name,entity_id,claim_summary,confidence,reference_id,reference_title,doi,url,tags,notes
ev-TOB-006-mol-nornicotine,mol-nornicotine,Nornicotine,detected/variable,alkaloid profiling,GC-MS/MS or LC-MS,,,reference,,,,medium,TOB-006,Application of GC-MS/MS for the Analysis of Tobacco Alkaloids in Tobacco Products,,https://pmc.ncbi.nlm.nih.gov/articles/PMC4573525/,,"GC-MS/MS in MRM for minor alkaloids (nornicotine, myosmine, anabasine, anatabine, isonicoteine): instrumentation reference for your 'proto-labo'."
ev-TOB-006-mol-anabasine,mol-anabasine,Anabasine,detected/minor,alkaloid profiling,GC-MS/MS or LC-MS,,,reference,,,,low,TOB-006,Application of GC-MS/MS for the Analysis of Tobacco Alkaloids in Tobacco Products,,https://pmc.ncbi.nlm.nih.gov/articles/PMC4573525/,,"GC-MS/MS in MRM for minor alkaloids (nornicotine, myosmine, anabasine, anatabine, isonicoteine): instrumentation reference for your 'proto-labo'."
ev-TOB-006-mol-anatabine,mol-anatabine,Anatabine,detected/minor,alkaloid profiling,GC-MS/MS or LC-MS,,,reference,,,,low,TOB-006,Application of GC-MS/MS for the Analysis of Tobacco Alkaloids in Tobacco Products,,https://pmc.ncbi.nlm.nih.gov/articles/PMC4573525/,,"GC-MS/MS in MRM for minor alkaloids (nornicotine, myosmine, anabasine, anatabine, isonicoteine): instrumentation reference for your 'proto-labo'."
ev-TOB-006-mol-isonicoteine,mol-isonicoteine,Isonicoteine,detected/minor,alkaloid profiling,GC-MS/MS or LC-MS,,,reference,,,,low,TOB-006,Application of GC-MS/MS for the Analysis of Tobacco Alkaloids in Tobacco Products,,https://pmc.ncbi.nlm.nih.gov/articles/PMC4573525/,,"GC-MS/MS in MRM for minor alkaloids (nornicotine, myosmine, anabasine, anatabine, isonicoteine): instrumentation reference for your 'proto-labo'."
ev-TOB-006-mol-myosmine,mol-myosmine,Myosmine,detected/minor,alkaloid profiling,GC-MS/MS or LC-MS,,,reference,,,,low,TOB-006,Application of GC-MS/MS for the Analysis of Tobacco Alkaloids in Tobacco Products,,https://pmc.ncbi.nlm.nih.gov/articles/PMC4573525/,,"GC-MS/MS in MRM for minor alkaloids (nornicotine, myosmine, anabasine, anatabine, isonicoteine): instrumentation reference for your 'proto-labo'."
ev-XMAT-001-mol-nicotine,mol-nicotine,Nicotine,time-series potential,herbarium metabolomics,LC-HRMS,Herbarium time-series (~150 years),,reference,,,,medium,XMAT-001,Historical herbarium collections reveal patterns of change in volatile terpenoids across time,10.3389/fpls.2018.01877,https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2018.01877/full,,Direct precedent: using herbarium specimens to infer temporal dynamics of volatile terpenoids; transferable to perfume plants & tobacco/cannabis.
ev-XMAT-002-mol-nicotine,mol-nicotine,Nicotine,time-series potential,herbarium metabolomics,LC-HRMS,,,reference,,,,medium,XMAT-002,Temporal patterns of damage and decay kinetics of DNA retrieved from plant herbarium specimens,10.1098/rsos.160239,https://royalsocietypublishing.org/doi/10.1098/rsos.160239,,Practical constraints for herbarium genomics (aDNA damage/age effects) relevant to building an 'olfactory GenBank'.
ev-XMAT-004-mol-patchoulol,mol-patchoulol,Patchoulol,key odorant,oil chemistry,GC-MS,,,reference,,,,low,XMAT-004,Archaeometric Identification of a Perfume from Roman Times,10.3390/heritage6060236,https://www.mdpi.com/2571-9408/6/6/236,,Patchouli identification in sealed Roman vessel; demonstrates 'resurrection chemistry' pipeline (Raman/FTIR/GC-MS) for lost perfumes.
ev-AROMA-001-mol-terpinolene,mol-terpinolene,Terpinolene,family/variation,genetics ↔ terpenes,genomics + GC-MS,,,reference,,,,low,AROMA-001,Molecular Rearrangement of Four Typical Grape Free Terpenes in a Model Wine System during Aging,10.1021/acs.jafc.2c07576,https://pubs.acs.org/doi/10.1021/acs.jafc.2c07576,,Mechanistic terpene transformation with aging; transferable logic to macerations/tinctures & space diffusers.
ev-AROMA-002-mol-terpinolene,mol-terpinolene,Terpinolene,family/variation,genetics ↔ terpenes,genomics + GC-MS,,,reference,,,,low,AROMA-002,The hops (Humulus lupulus) genome contains a mid-sized terpene synthase family that shows wide functional and allelic diversity,,https://pmc.ncbi.nlm.nih.gov/articles/PMC10214682/,,Cultivar terpene diversity + TPS alleles; offers cross-model for cannabis and other aromatic crops.
ev-AROMA-003-mol-terpinolene,mol-terpinolene,Terpinolene,family/variation,genetics ↔ terpenes,genomics + GC-MS,,,reference,,,,low,AROMA-003,Metabolic Fingerprinting of Muscat of Alexandria Grape Musts (PDF),,https://openpub.fmach.it/retrieve/74c52ec0-6aa4-447e-973e-1a7953063a2c/2023%20M%20Arapitsas.pdf,,Example of cultivar-specific terpene behavior; supports 'rare cultivar aromatics' approach.
ev-ref-doi-10-1073-pnas-2424863122-mol-terpinolene,mol-terpinolene,Terpinolene,family/variation,genetics ↔ terpenes,genomics + GC-MS,,,reference,,,,low,ref-doi-10-1073-pnas-2424863122,A Vetiver-Specific Terpene Synthase Controls the Production of the Woody Sesquiterpene Cedrol,10.1073/pnas.2424863122,https://doi.org/10.1073/pnas.2424863122,vetiver;cedrol;terpene-synthase;woody;climate-adaptation,Lien direct gène→cedrol; utile pour modèle 'perte/variation de note boisée'.
ev-ref-doi-10-1073-pnas-2424863122-mol-cedrol,mol-cedrol,Cedrol,key odorant,biosynthesis,genomics/enzymology,,,reference,,,,low,ref-doi-10-1073-pnas-2424863122,A Vetiver-Specific Terpene Synthase Controls the Production of the Woody Sesquiterpene Cedrol,10.1073/pnas.2424863122,https://doi.org/10.1073/pnas.2424863122,vetiver;cedrol;terpene-synthase;woody;climate-adaptation,Lien direct gène→cedrol; utile pour modèle 'perte/variation de note boisée'.
ev-ref-doi-10-1073-pnas-2424863122-mol-zizaene,mol-zizaene,(−)-Zizaene,key odorant,biosynthesis,enzymology,,,reference,,,,low,ref-doi-10-1073-pnas-2424863122,A Vetiver-Specific Terpene Synthase Controls the Production of the Woody Sesquiterpene Cedrol,10.1073/pnas.2424863122,https://doi.org/10.1073/pnas.2424863122,vetiver;cedrol;terpene-synthase;woody;climate-adaptation,Lien direct gène→cedrol; utile pour modèle 'perte/variation de note boisée'.
ev-ref-doi-10-3390-plants14131922-mol-vanillin,mol-vanillin,Vanillin,key odorant,ripening/fermentation,omics + GC/LC,,,reference,,,,low,ref-doi-10-3390-plants14131922,Vanilla planifolia fruit ripening: Integrating transcriptomics and metabolomics to explore vanillin biosynthesis,10.3390/plants14131922,https://doi.org/10.3390/plants14131922,vanilla;vanillin;transcriptomics;metabolomics;ripening;biosynthesis,Intégration omics pour vanilline: utile pour 'molécules disparues' via terroir/fermentation.
ev-ref-doi-10-1111-nph-19977-mol-terpinolene,mol-terpinolene,Terpinolene,family/variation,genetics ↔ terpenes,genomics + GC-MS,,,reference,,,,low,ref-doi-10-1111-nph-19977,Chromosome-level genome assembly of Cananga odorata illuminates scent-related gene expansion,10.1111/nph.19977,https://doi.org/10.1111/nph.19977,ylang-ylang;cananga;genome;floral-scent;terpenes;gene-family,Génome + expansion gènes scent/TPS; utile pour un 'atlas ylang-ylang'.
ev-ref-doi-10-1021-cbe-3c00083-mol-ambrein,mol-ambrein,Ambrein,key precursor,animal material analysis,GC-MS,,,reference,,,,low,ref-doi-10-1021-cbe-3c00083,Efforts Toward Ambergris Biosynthesis,10.1021/cbe.3c00083,https://doi.org/10.1021/cbe.3c00083,ambergris;ambrein;ambroxan;biosynthesis;teaching;biotech,Synthèse/chemin biosynthétique discuté autour d’ambre gris (ambrein → dérivés odorants).
ev-ref-doi-10-1080-14786419-2024-2321496-mol-ambrein,mol-ambrein,Ambrein,key precursor,animal material analysis,GC-MS,,,reference,,,,low,ref-doi-10-1080-14786419-2024-2321496,Rapid analysis of ambergris by thermal desorption gas chromatography mass spectrometry,10.1080/14786419.2024.2321496,https://doi.org/10.1080/14786419.2024.2321496,ambergris;GC-MS;thermal-desorption;analysis;ambrein,Méthode analytique rapide pour authentification/characterization d’ambre gris.
ev-ref-ttl-transcriptomic-profiling-of-the-floral-fragrance-mol-linalool,mol-linalool,Linalool,volatile marker,aroma profiling,GC-MS,,,reference,,,,medium,ref-ttl-transcriptomic-profiling-of-the-floral-fragrance,Transcriptomic profiling of the floral fragrance biosynthesis of Iris germanica,,https://www.sciencedirect.com/science/article/pii/S2468014124001559,iris;floral-scent;transcriptome;linalool;omics,Profil volatils + transcriptome; modèle omics pour relier gènes/TF et émission odorante.
ev-ref-ttl-transcriptomic-profiling-of-the-floral-fragrance-mol-irones-irone,mol-irones-irone,Irones (α/β/γ-irone),key odorant,rhizome aging,GC-MS/HPLC,,,reference,,,,low,ref-ttl-transcriptomic-profiling-of-the-floral-fragrance,Transcriptomic profiling of the floral fragrance biosynthesis of Iris germanica,,https://www.sciencedirect.com/science/article/pii/S2468014124001559,iris;floral-scent;transcriptome;linalool;omics,Profil volatils + transcriptome; modèle omics pour relier gènes/TF et émission odorante.
ev-ref-doi-10-1016-j-jas-2023-105769-mol-nicotine,mol-nicotine,Nicotine,time-series potential,herbarium metabolomics,LC-HRMS,,,reference,,,,medium,ref-doi-10-1016-j-jas-2023-105769,Botanical collections as an opportunity to explore nature through time: an untargeted metabolomic study in historical and modern Nicotiana leaves,10.1016/j.jas.2023.105769,https://doi.org/10.1016/j.jas.2023.105769,herbarium;historical-samples;metabolomics;time-series;lost-molecules,Cas d’école 'molécules disparues' via collections historiques + LC-HRMS non-ciblée.
ev-ref-doi-10-1038-s41597-023-02849-x-mol-santalol,mol-santalol,α-Santalol,key odorant,biosynthesis,genomics/enzymology,,,reference,,,,low,ref-doi-10-1038-s41597-023-02849-x,Improved chromosome-level genome assembly of Indian sandalwood (Santalum album),10.1038/s41597-023-02849-x,https://doi.org/10.1038/s41597-023-02849-x,sandalwood;santalum;genome;chromosome-level;resources,Assemblage chromosome-level (Sci Data) — utile pour analyses SV/pangenome.
ev-ref-doi-10-1038-s41467-022-31121-w-mol-terpinolene,mol-terpinolene,Terpinolene,family/variation,genetics ↔ terpenes,genomics + GC-MS,,,reference,,,,low,ref-doi-10-1038-s41467-022-31121-w,Genome-wide exploration of the evolution and terpene biosynthesis of patchouli (Pogostemon cablin),10.1038/s41467-022-31121-w,https://doi.org/10.1038/s41467-022-31121-w,patchouli;pogostemon;genome;terpenes;patchoulol;TPS,Génome & gènes terpènes: base pour cartographier chimiotypes patchouli et variétés historiques.
ev-ref-doi-10-1038-s41467-022-31121-w-mol-patchoulol,mol-patchoulol,Patchoulol,key odorant,oil chemistry,GC-MS,,,reference,,,,low,ref-doi-10-1038-s41467-022-31121-w,Genome-wide exploration of the evolution and terpene biosynthesis of patchouli (Pogostemon cablin),10.1038/s41467-022-31121-w,https://doi.org/10.1038/s41467-022-31121-w,patchouli;pogostemon;genome;terpenes;patchoulol;TPS,Génome & gènes terpènes: base pour cartographier chimiotypes patchouli et variétés historiques.
ev-ref-doi-10-1016-j-isci-2022-104574-mol-terpinolene,mol-terpinolene,Terpinolene,family/variation,genetics ↔ terpenes,genomics + GC-MS,,,reference,,,,low,ref-doi-10-1016-j-isci-2022-104574,The Boswellia sacra genome and transcriptome reveal evolutionary adaptations for resin terpenoid biosynthesis,10.1016/j.isci.2022.104574,https://doi.org/10.1016/j.isci.2022.104574,frankincense;boswellia;genome;transcriptome;resin;terpenoids,Génome + transcriptome pour relier biosynthèse résine/terpénoïdes et écologie.
ev-ref-doi-10-1128-mbio-01111-21-mol-atranorin,mol-atranorin,Atranorin,lichen marker,BGC/genome mining,genomics/chemistry,,,reference,,,,low,ref-doi-10-1128-mbio-01111-21,"Linking a Gene Cluster to Atranorin, a Major Cortical Substance of Lichen-Forming Fungi",10.1128/mBio.01111-21,https://doi.org/10.1128/mBio.01111-21,lichen;atranorin;biosynthetic-gene-cluster;oakmoss;allergens,Exemple fort: cluster → molécule parfumante/biomarker (atranorine).
ev-ref-doi-10-1038-s41438-021-00531-0-mol-ionone,mol-ionone,β-Ionone,key odorant,carotenoid cleavage,genomics/metabolomics,,,reference,,,,low,ref-doi-10-1038-s41438-021-00531-0,Whole-genome resequencing of Osmanthus fragrans provides insights into aroma formation and domestication,10.1038/s41438-021-00531-0,https://doi.org/10.1038/s41438-021-00531-0,osmanthus;resequencing;domestication;aroma;beta-ionone,Resequencing pour relier diversité génétique ↔ arômes/traits horticoles.
ev-ref-doi-10-3390-molecules24010203-mol-atranorin,mol-atranorin,Atranorin,lichen marker,BGC/genome mining,genomics/chemistry,,,reference,,,,low,ref-doi-10-3390-molecules24010203,Biosynthetic Gene Content of the ‘Perfume Lichens’ Evernia prunastri and Pseudevernia furfuracea,10.3390/molecules24010203,https://doi.org/10.3390/molecules24010203,oakmoss;evernia;lichen;genome-mining;BGC;perfumery,BGC lichen-forming fungi — base pour substances d’écorce (depsides/depsidones) et allergènes.
ev-ref-doi-10-1021-acsomega-9b00242-mol-zizaene,mol-zizaene,(−)-Zizaene,key odorant,biosynthesis,enzymology,,,reference,,,,low,ref-doi-10-1021-acsomega-9b00242,Identification of Zizaene Synthase Catalyzing the Key Step in (−)-Zizaene Biosynthesis from Vetiver Oil,10.1021/acsomega.9b00242,https://doi.org/10.1021/acsomega.9b00242,vetiver;zizaene;sesquiterpene-synthase;biosynthesis;odorants,Enzyme clé pour un sesquiterpène signature du vétiver.
ev-ref-doi-10-3390-genes10050392-mol-terpinolene,mol-terpinolene,Terpinolene,family/variation,genetics ↔ terpenes,genomics + GC-MS,,,reference,,,,low,ref-doi-10-3390-genes10050392,Leaf Transcriptome Assembly of Protium copal (Burseraceae) and Annotation of Terpene Biosynthetic Genes,10.3390/genes10050392,https://doi.org/10.3390/genes10050392,copal;protium;resin;transcriptome;terpene-genes;incense,Ressource transcriptome pour résines/copals (routes terpéniques comparatives).
ev-ref-doi-10-1104-pp-17-01764-mol-santalol,mol-santalol,α-Santalol,key odorant,biosynthesis,genomics/enzymology,,,reference,,,,low,ref-doi-10-1104-pp-17-01764,Multi-Omics Driven Assembly and Annotation of the Sandalwood (Santalum album) Genome,10.1104/pp.17.01764,https://doi.org/10.1104/pp.17.01764,sandalwood;santalum;genome;multi-omics;annotation;oil-biosynthesis,Génome + annotation via multi-omics; base pour cartographier gènes de terpènes/santalols.
ev-ref-doi-10-1039-c7cs00431a-mol-atranorin,mol-atranorin,Atranorin,lichen marker,BGC/genome mining,genomics/chemistry,,,reference,,,,low,ref-doi-10-1039-c7cs00431a,Secondary metabolism in the lichen symbiosis,10.1039/C7CS00431A,https://doi.org/10.1039/C7CS00431A,lichen;secondary-metabolism;review;natural-products;perfumery,Revue de référence sur métabolisme secondaire des lichens (cadre pour exploration de molécules rares).
ev-ref-doi-10-1038-s41438-018-0108-0-mol-ionone,mol-ionone,β-Ionone,key odorant,carotenoid cleavage,genomics/metabolomics,,,reference,,,,low,ref-doi-10-1038-s41438-018-0108-0,The chromosome-level quality genome provides insights into the evolution of the biosynthesis genes for aroma compounds of Osmanthus fragrans,10.1038/s41438-018-0108-0,https://doi.org/10.1038/s41438-018-0108-0,osmanthus;genome;aroma;beta-ionone;CCD4;floral-scent,"Génome + évolution gènes arôme (β‑ionone, caroténoïdes)."
ev-ref-doi-10-3390-molecules20010384-mol-ambrettolide,mol-ambrettolide,Ambrettolide,plant musk,seed oil,GC-MS,,,reference,,,,low,ref-doi-10-3390-molecules20010384,Characterization of Ambrette Seed Oil and Its Mode of Action in Bacteria,10.3390/molecules20010384,https://doi.org/10.3390/molecules20010384,ambrette;abelmoschus;ambrettolide;seed-oil;GC-MS;plant-musk,Profil GC-MS ambrette: ambrettolide + farnesyl acetates (matière première musquée végétale).
ev-ref-ttl-fragrance-biosynthesis-in-sandalwood-from-genes--mol-santalol,mol-santalol,α-Santalol,key odorant,biosynthesis,genomics/enzymology,,,reference,,,,low,ref-ttl-fragrance-biosynthesis-in-sandalwood-from-genes-,Fragrance biosynthesis in sandalwood: from genes to oils,,,sandalwood;Santalum;review;sesquiterpenes;biosynthesis,Revue/overview sur la biosynthèse des sesquiterpènes du santal (à compléter avec source exacte si besoin).
ev-ref-doi-10-1074-jbc-m111-231787-mol-santalol,mol-santalol,α-Santalol,key odorant,biosynthesis,genomics/enzymology,,,reference,,,,low,ref-doi-10-1074-jbc-m111-231787,Sesquiterpene synthases responsible for sandalwood oil biosynthesis in Santalum album,10.1074/jbc.M111.231787,https://doi.org/10.1074/jbc.M111.231787,sandalwood;santalum;sesquiterpene-synthase;alpha-santalol;biosynthesis,Caractérisation d’enzymes clés impliquées dans la production des principaux odorants du santal.
ev-ref-doi-10-1007-bf02540473-mol-civetone,mol-civetone,Civetone,macrocyclic musk,synthesis/alt,organic synthesis,,,reference,,,,low,ref-doi-10-1007-bf02540473,Synthesis of civetone from palm oil products,10.1007/BF02540473,https://doi.org/10.1007/BF02540473,civetone;macrocyclic-musk;biobased;olefin;industrial,Voie de synthèse biobased (huile de palme/oléate) — pertinent pour alternatives éthiques.
ev-ref-doi-10-1002-pca-2800040407-mol-nicotine,mol-nicotine,Nicotine,time-series potential,herbarium metabolomics,LC-HRMS,,,reference,,,,medium,ref-doi-10-1002-pca-2800040407,Analysis of constituents of Iris rhizomes. Part I: High performance liquid chromatography and capillary gas chromatography-mass spectrometry of irones,10.1002/pca.2800040407,https://doi.org/10.1002/pca.2800040407,orris;iris;irones;GC-MS;HPLC;historical-materials,Référence analytique sur irones (cœur 'violette/orris') — utile pour comparaisons lots anciens/modernes.
ev-ref-doi-10-1002-pca-2800040407-mol-irones-irone,mol-irones-irone,Irones (α/β/γ-irone),key odorant,rhizome aging,GC-MS/HPLC,,,reference,,,,low,ref-doi-10-1002-pca-2800040407,Analysis of constituents of Iris rhizomes. Part I: High performance liquid chromatography and capillary gas chromatography-mass spectrometry of irones,10.1002/pca.2800040407,https://doi.org/10.1002/pca.2800040407,orris;iris;irones;GC-MS;HPLC;historical-materials,Référence analytique sur irones (cœur 'violette/orris') — utile pour comparaisons lots anciens/modernes.
ev-ref-doi-10-1002-aps3-11477-mol-nicotine,mol-nicotine,Nicotine,time-series potential,herbarium metabolomics,LC-HRMS,,,reference,,,,medium,ref-doi-10-1002-aps3-11477,Ancient DNA extraction methods for herbarium specimens: When is it worth the effort?,10.1002/aps3.11477,https://doi.org/10.1002/aps3.11477,herbarium;ancient-DNA;genomics;NGS;target-enrichment;protocols,Comparaison méthodes d’extraction aDNA vs kits; utile pour 'résurrection' de variétés anciennes via herbier.
ev-ref-doi-10-3389-fmolb-2020-00133-mol-nicotine,mol-nicotine,Nicotine,detected/present,alkaloid profiling,GC-MS/MS or LC-MS,,,reference,,,,medium,ref-doi-10-3389-fmolb-2020-00133,An Ancient Residue Metabolomics-Based Method to Distinguish Use of Closely Related Plant Species in Ancient Pipes,10.3389/fmolb.2020.00133,https://doi.org/10.3389/fmolb.2020.00133,metabolomics;residue-analysis;ancient-pipes;LC-MS;MZmine;nicotine;plant-identification,Pipeline metabolomics (LC-MS) + features non-identifiées; bon modèle pour distinguer plantes fumées proches (tabac vs autres).
ev-ref-doi-10-1073-pnas-1813796115-mol-nicotine,mol-nicotine,Nicotine,detected/present,alkaloid profiling,GC-MS/MS or LC-MS,,,reference,,,,medium,ref-doi-10-1073-pnas-1813796115,Biomolecular archaeology reveals ancient origins of indigenous tobacco smoking in North American Plateau,10.1073/pnas.1813796115,https://doi.org/10.1073/pnas.1813796115,tobacco;nicotine;archaeochemistry;residue-analysis;UPLC-MS;biomarkers;ancient-use,Détection nicotine (UPLC-MS) dans pipes (jusqu’à ~1200 cal BP); très utile pour 'archéologie des molécules' et continuités indigènes.
ev-ref-doi-10-3389-fpls-2018-01877-mol-terpinolene,mol-terpinolene,Terpinolene,family/variation,genetics ↔ terpenes,genomics + GC-MS,,,reference,,,,low,ref-doi-10-3389-fpls-2018-01877,Hundred Fifty Years of Herbarium Collections Provide a Reliable Resource of Volatile Terpenoid Profiles Showing Strong Species Effect in Four Medicinal Species of Salvia Across the Mediterranean,10.3389/fpls.2018.01877,https://doi.org/10.3389/fpls.2018.01877,herbarium;terpenes;volatile-terpenoids;GC-MS;time-series;chemotype;stability,Cas d’école: profils terpénoïdes volatils sur 150 ans; faible effet 'année' sur composition (mais baisse de concentration de certains standards).
