reference_id,title,authors,year,venue,doi,url,tags,notes
tob-2024-frontiers-genomeseq,Retrospect and prospect of Nicotiana tabacum genome sequencing,"Xie, (voir article)",2024,Frontiers in Plant Science,10.3389/fpls.2024.1474658,https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2024.1474658/full,tobacco; review; genome-assembly; pangenome; T2T,"Bon 'state of the art' + roadmap technique (pangenome, T2T)."
tob-2024-pmc-nicotine-review,Genetic regulation and manipulation of nicotine biosynthesis in tobacco: strategies to eliminate addictive alkaloids,(voir article),2024,(voir article / PMC),,https://pmc.ncbi.nlm.nih.gov/articles/PMC10938045/,tobacco; nicotine-biosynthesis; regulation; jasmonate; genome-editing,Revue très utile pour cartographier gènes (PMT/QPT/BBL/ERF/MYC2 etc.).
tob-2013-genetics-alkaloids,Molecular genetics of alkaloid biosynthesis in Nicotiana tabacum,"Dewey, R.E. and Xie, J.",2013,Phytochemistry,,https://www.sciencedirect.com/science/article/abs/pii/S0031942213002069,tobacco; alkaloids; pathway; regulation; review,"Revue 'pathway-centric' (nicotine, nornicotine, TSNA) — bonne base pédagogie."
tob-2025-scidata-transcriptome,"A transcriptomic profiling across tissues, developmental stages, and types of Nicotiana tabacum","Tong, Z. and others",2025,Scientific Data,10.1038/s41597-025-06409-3,https://www.nature.com/articles/s41597-025-06409-3,tobacco; transcriptome; atlas; tissues; development,Atlas d'expression pour construire un module 'tissue browser' (trichomes/feuille/racine).
tob-2021-nph-scentsinglecell,Single-cell RNA-sequencing of Nicotiana attenuata corolla cells reveals the biosynthetic pathway of a floral scent,(voir article),2022,New Phytologist,10.1111/nph.17992,https://nph.onlinelibrary.wiley.com/doi/10.1111/nph.17992,tobacco; single-cell; floral-scent; volatile-biosynthesis; olfaction,Pont très PERFUMUM: 'single-cell olfactory biosynthesis' côté Nicotiana.
tob-2025-biorxiv-attenuata-t2t,Chromosome-level genome assemblies of Nicotiana attenuata and related wild tobaccos (preprint),(voir preprint),2025,bioRxiv,10.1101/2025.11.10.687602,https://www.biorxiv.org/content/10.1101/2025.11.10.687602v1,tobacco; wild-nicotiana; genome-assembly; preprint; T2T,À suivre (préprint) — potentiellement énorme pour conservation/évolution.
db-ncbi-cannabis-cs10,NCBI Datasets – Cannabis sativa genome (CBDRx/cs10 reference),NCBI,2025,NCBI Datasets,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_900626175.1/,database; cannabis; reference-genome; assembly,Point d'entrée stable pour référencer assemblages + annotations.
db-sgn-nicotiana-attenuata,Sol Genomics Network – Nicotiana attenuata genome portal,Sol Genomics Network,2025,SGN,,https://solgenomics.net/organism/Nicotiana_attenuata/genome,database; tobacco; nicotiana-attenuata; portal; expression,"Bon pour liens sortants (genome release, bioproject, data hub)."
db-nadh-attenuata,Nicotiana attenuata Data Hub (NaDH) – genomic / transcriptomic / metabolomic data,Max Planck Institute (NaDH),2025,NaDH,,https://nadh.ice.mpg.de/NaDH/others/data,database; tobacco; multi-omics; metabolomics; expression,Très utile pour lier génome ↔ métabolome ↔ écologie.
db-ensemblplants-attenuata,Ensembl Plants – Nicotiana attenuata annotation portal,Ensembl Plants,2025,Ensembl Plants,,https://plants.ensembl.org/Nicotiana_attenuata/Info/Annotation/,database; tobacco; genome; annotation; comparative-genomics,Accès API/biomart pour extraction gènes + orthologues.
db-kegg-attenuata,KEGG GENOME – Nicotiana attenuata,KEGG,2025,KEGG,,https://www.kegg.jp/kegg-bin/show_organism?org=nau,database; tobacco; pathways; enzymes; mapping,Pratique pour cartographier la voie nicotine + enzymes associés.
