key,type,axis_primary,axes_secondary,title,authors,year,container_title,publisher,doi,isbn,url,notes,tags
Smeller2Website,website,B1 Olfactory art & aesthetics,J1 Performative smell systems / devices,Smeller 2.0 (olfactory organ) – official site,Wolfgang Georgsdorf / Osmodrama,2012,,,,,https://smeller.net/,A reference architecture for time-based smell composition + rapid ‘clearing’ of scents.,device; osmodrama; performance
OdeuropaEncyclopediaSmellOrgan,web_entry,J1 Performative smell systems / devices,C1 Olfactory heritage & computational humanities,Smell Organ (Encyclopedia of Smell History and Heritage entry),Odeuropa Encyclopedia editors,2023,,,,,https://encyclopedia.odeuropa.eu/items/show/18,"Entry contextualizes smell organs, incl. Smeller 2.0; good for glossary/knowledge-base style.",glossary; device history
McLean2020SmellfieKit,report,"B2 Smell in space, design & urban smellscapes",D1 Knowledge graph & datasets,Smellfie Kit (Smellwalking Guide),Kate McLean,2020,,sensorymaps.com,,,https://sensorymaps.com/wp-content/uploads/2024/07/Smellfie_Kit_2020_compressed.pdf,Field protocol for smellwalks + categorization; perfect for citizen-science or site research.,method; smellwalk; mapping
Marks2025NewYorker,article,E1 Museum protocols & olfactory museology,B1 Olfactory art & aesthetics,Remembrance of Scents Past,The New Yorker (profile of Tasha Marks / AVM Curiosities),2025,,The New Yorker,,,https://www.newyorker.com/culture/onward-and-upward-with-the-arts/remembrance-of-scents-past,High-level but useful to communicate museological scent design practice to collaborators.,practice; museum; storytelling
TewellRanasinghe2024OlfactoryDisplaysVR,article,J2 VR olfactive & multisensory interfaces,"B2 Smell in space, design & urban smellscapes; D1 Knowledge graph & datasets",A Review of Olfactory Display Designs for Virtual Reality Environments,Jordan Tewell; Nimesha Ranasinghe,2024,ACM Computing Surveys,ACM,10.1145/3665243,,https://dl.acm.org/doi/full/10.1145/3665243,State-of-the-art taxonomy of olfactory VR systems; great for selecting hardware patterns.,VR; olfactory display; review
NatureComms2023WirelessOlfactoryInterface,article,J2 VR olfactive & multisensory interfaces,J1 Performative smell systems / devices,"Soft, miniaturized, wireless olfactory interface for virtual reality",(see paper for full author list),2023,Nature Communications,Nature Portfolio,,,https://www.nature.com/articles/s41467-023-37678-4,Hardware reference for wearable scent interfaces; use as ‘north star’ in R&D narrative.,hardware; wearable; VR
Springer2025AIAIOlfactionGustation,article,J3 AI for olfaction / digital smell,D1 Knowledge graph & datasets,Advances in artificial intelligence for olfaction and gustation,(see paper for full author list),2025,Artificial Intelligence Review,Springer,10.1007/s10462-025-11309-4,,https://link.springer.com/article/10.1007/s10462-025-11309-4,Review on AI methods across olfaction; good to justify ‘olfactory genomics’ + ML inference.,AI; review; olfaction
SciencePartnerJournal2024ENoseAlgorithms,article,J3 AI for olfaction / digital smell,J2 VR olfactive & multisensory interfaces,Review on Algorithm Design in Electronic Noses: Challenges and Prospects,(see paper for full author list),2024,Intelligent Computing,Science Partner Journals / AAAS,10.34133/icomputing.0012,,https://spj.science.org/doi/10.34133/icomputing.0012,Structured review of e-nose algorithms; bridges sensing → classification → drift issues.,e-nose; algorithms; review
bioRxiv2024DataScienceInOlfaction,preprint,J3 AI for olfaction / digital smell,D1 Knowledge graph & datasets,Data Science in Olfaction,(see preprint),2024,bioRxiv,Cold Spring Harbor Laboratory,10.1101/2024.10.19.619239,,https://www.biorxiv.org/content/10.1101/2024.10.19.619239v1,Framing paper for building datasets linking odorant descriptors to perception; useful for PERFUMUM schema.,data science; smell descriptors
Met2024SleepingBeautiesSmell,news,B1 Olfactory art & aesthetics,E1 Museum protocols & olfactory museology,Sleeping Beauties: Reawakening Fashion (smell interventions by Sissel Tolaas),The Met / press coverage,2024,,,,,https://www.vogue.com/article/everything-is-about-chemistry-sissel-tolaas-on-her-mission-to-understand-smell-at-the-met-and-beyond,Case study of scent as curatorial device in major museum fashion show; good for comms/credibility.,Sissel Tolaas; museum; fashion
CORDIS2024ResultsInBriefOdeuropa,report,C1 Olfactory heritage & computational humanities,D1 Knowledge graph & datasets,Our sense of smell: a gateway to our collective past (Odeuropa Results in Brief),CORDIS / European Commission,2024,,European Commission,,,https://cordis.europa.eu/article/id/451390-our-sense-of-smell-a-gateway-to-our-collective-past,Contains public-facing metrics (millions of ‘nose witness accounts’) + tooling summary.,EU; metrics; dataset
TullettLeemans2023SmellPast,book,C1 Olfactory heritage & computational humanities,A1 Smell studies & critical theory; E1 Museum protocols & olfactory museology,"Smell and the Past: Noses, Archives, Narratives",William Tullett; Inger Leemans (eds.),2023,,Bloomsbury Academic,10.5040/9781350367531,9781350367531,https://www.bloomsbury.com/us/smell-and-the-past-9781350367500/,Key ‘archive’ bridge: how smell is documented/forgotten; methods + case studies; open-access PDF exists via OAPEN.,archive; heritage; edited volume
Aftel2023MuseumOfScent,book,C2 Material culture & perfumery archives,B1 Olfactory art & aesthetics; E1 Museum protocols & olfactory museology,The Museum of Scent: Exploring the Curious and Wondrous World of Fragrance,Mandy Aftel,2023,,Abbeville Press,,9780789214713,https://www.abbeville.com/products/the-museum-of-scent,"A ‘museum’ model built from a living archive (materials, artifacts, recipes). Useful for curatorial tone + object records.",archive; materials; perfumery
HenshawMcLeanMundaneMethods2019,chapter,"B2 Smell in space, design & urban smellscapes","D2 Methods (field, mapping, participatory)",Smell walking and mapping,(chapter discussing Kate McLean’s practice),2019,Mundane Methods,Manchester University Press,,9781526152732,https://www.manchesterhive.com/display/9781526152732/9781526152732.00017.xml,Practical reflection on smellwalk logistics + mapping; good for your Colombia/Burkina field protocols.,smellwalk; mapping; methodology
CORDISOdeuropaGrant101004469,dataset,D1 Knowledge graph & datasets,C1 Olfactory heritage & computational humanities,ODEUROPA (H2020 grant 101004469) – project reporting,European Commission (CORDIS),2024,,European Commission,,,https://cordis.europa.eu/project/id/101004469/reporting,"Official project facts, deliverables overview, and context; credible for ‘about’ pages and partnerships.",EU; grant; deliverables
EuropaNostra2025OdeuropaAward,website,C1 Olfactory heritage & computational humanities,E1 Museum protocols & olfactory museology,Odeuropa – European Heritage Awards / Europa Nostra Awards (winner page),Europa Nostra,2025,,,,,https://www.europeanheritageawards.eu/winners/odeuropa/,Award framing: useful for external legitimacy and collaboration pitches.,award; heritage; credibility
VU2025OdeuropaAwardNews,news,C1 Olfactory heritage & computational humanities,E1 Museum protocols & olfactory museology,Odour research Odeuropa wins prestigious European heritage award,Vrije Universiteit Amsterdam,2025,,VU Amsterdam,,,https://vu.nl/en/news/2025/odour-research-odeuropa-wins-prestigious-european-heritage-award,Additional project framing + funding/timeframe; good for comms and partner decks.,news; award; project
UCL2025OdeuropaAward,news,C1 Olfactory heritage & computational humanities,E1 Museum protocols & olfactory museology,Preserving Europe's forgotten smells: Odeuropa receives Europa Nostra Award,UCL Bartlett,2025,,University College London,,,https://www.ucl.ac.uk/bartlett/news/2025/jun/preserving-europes-forgotten-smells-odeuropa-co-led-ucl-ish-receives-europa-nostra-award,Institutional explanation of why olfactory heritage matters; partner list context.,institutional; award
ElPais2025OdeuropaHellSmell,news,C1 Olfactory heritage & computational humanities,A1 Smell studies & critical theory,¿A qué huele el infierno? La IA recrea olores que marcaron la historia y la cultura de Europa,El País (ciencia),2025,,El País,,,https://elpais.com/ciencia/2025-08-25/a-que-huele-el-infierno-la-ia-recrea-olores-que-marcaron-la-historia-y-la-cultura-de-europa.html,"Spanish-language coverage: good for press inspirations, narrative hooks, and explaining smell reconstruction to broad audiences.",press; storytelling; AI
Smithsonian2023SmellEncyclopedia,news,C1 Olfactory heritage & computational humanities,E1 Museum protocols & olfactory museology,A New Encyclopedia Explores Europe's Smelly History,Smithsonian Magazine,2023,,Smithsonian,,,https://www.smithsonianmag.com/innovation/a-new-encyclopedia-explores-europes-smelly-history-180983417/,Accessible explainer of Smell Explorer methods (image annotation + ML).,press; explainer
deCupereSite,website,B1 Olfactory art & aesthetics,J1 Performative smell systems / devices,Peter de Cupere (official site),Peter de Cupere,2025,,,,,https://www.peterdecupere.net/,Portfolio and documentation of olfactory art; useful for practice benchmarks.,artist; reference
OsmodramaSite,website,J1 Performative smell systems / devices,B1 Olfactory art & aesthetics,Osmodrama (time-based olfactory theatre),Osmodrama / Wolfgang Georgsdorf,2025,,,,,https://osmodrama.com/,Concept and documentation for staged scent sequences in shared space; strong for ‘installation’ adaptations.,performance; theatre
AnheuerEtAl2024MicrodosingOdorsVR,article,J2 VR olfactive & multisensory interfaces,E2 Protocols (lab + device validation),Framework for Microdosing Odors in Virtual Reality for Psychophysiological Stress Training,Daniel Anheuer et al.,2024,Sensors,MDPI,10.3390/s24217046,,https://www.mdpi.com/1424-8220/24/21/7046,Practical design + validation logic for odor dosing systems; helpful for your proto-labo section.,VR; dosing; protocol
YildirimEtAl2025DigitalSmellBuiltEnv,article,J2 VR olfactive & multisensory interfaces,"B2 Smell in space, design & urban smellscapes",Digital smell technologies for the built environment: Evaluating human responses to multisensory stimuli in immersive virtual reality,Muhammed Yildirim et al.,2025,Building and Environment,Elsevier,10.1016/j.buildenv.2025.112608,,https://www.sciencedirect.com/science/article/pii/S0360132325000903,Bridges architecture/built environment research + smell-in-VR workflows.,built environment; VR; multisensory
LiuEtAl2023WirelessOlfactoryVR,article,J2 VR olfactive & multisensory interfaces,J1 Performative smell systems / devices,"Soft, miniaturized, wireless olfactory interface for virtual reality",Yiming Liu et al.,2023,Nature Communications,Nature Portfolio,10.1038/s41467-023-37678-4,,https://www.nature.com/articles/s41467-023-37678-4,Cutting-edge wearable odor generator arrays; cite as hardware ‘future’ reference.,wearable; VR; hardware
MershinEtAl2025MachineOlfactionRoadmap,preprint,J3 AI for olfaction / digital smell,D1 Knowledge graph & datasets; F1 Ethics & governance,Machine Olfaction and Embedded AI Are Shaping the New Global Sensing Industry,Andreas Mershin et al.,2025,arXiv,arXiv,,,https://arxiv.org/abs/2510.19660,Industry roadmap & ethics section; useful for ‘future chapter’ + funding rationale.,machine olfaction; roadmap; ethics
Wired2022VRNoSmell,news,J2 VR olfactive & multisensory interfaces,B1 Olfactory art & aesthetics,VR Still Stinks Because It Doesn't Smell,WIRED,2022,,WIRED,,,https://www.wired.com/story/vr-still-stinks-because-it-doesnt-smell/,Good cultural critique + mentions commercial devices; useful for narrative stakes.,media; critique; VR
OdeuropaStorytellingToolkit2023,website,E1 Museum protocols & olfactory museology,C1 Olfactory heritage & computational humanities,Odeuropa Olfactory Storytelling Toolkit (How-to guide for museums),Odeuropa,2023,,,,,https://odeuropa.eu/olfactory-storytelling-toolkit/,Directly actionable museum how-to resource; model for PERFUMUM ‘protocol packs’.,toolkit; museums; guide
Kettler2020SmellOfSlavery,book,"F1 Ethics, politics & decolonial smell",A1 Smell studies & critical theory,The Smell of Slavery: Olfactory Racism and the Atlantic World,Andrew Kettler,2020,,Cambridge University Press,,9781108490733,https://www.cambridge.org/core/books/smell-of-slavery/9A0D0F0C6E7E0E91E3BBF9DCA88B0B2D,Key text on olfactory racism and Atlantic slavery; supports ‘critical botany’ chapter.,race; colonialism; sensory history
Hsu2018SmellOfRisk,book,"F1 Ethics, politics & decolonial smell","B2 Smell in space, design & urban smellscapes",The Smell of Risk: Environmental Disparities and Olfactory Aesthetics,Hsuan L. Hsu,2020,,NYU Press,,9781479810093,https://nyupress.org/9781479810093/the-smell-of-risk/,"Environmental justice + smell; great for framing pollution, extractivism, and ‘atmospheric violence’.",environmental justice; aesthetics
Hsu2023OlfactoryWorldmaking,book,"F1 Ethics, politics & decolonial smell",A1 Smell studies & critical theory; B1 Olfactory art & aesthetics,Olfactory Worldmaking,Hsuan L. Hsu,2023,,University of Minnesota Press (Forerunners),,9781517921231,https://www.upress.umn.edu/9781517921231/olfactory-worldmaking/,Links smell to racial/colonial capitalism and environmental humanities; good for conceptual manifesto chapters.,critical theory; environmental humanities
Smith2017SmellHistoryReader,book,A1 Smell studies & critical theory,C1 Olfactory heritage & computational humanities,Smell and History: A Reader,Mark M. Smith (ed.),2017,,West Virginia University Press,,9781943665325,https://wvupressonline.com/node/781,Curated core essays; good teaching/citation backbone for collaborators new to smell history.,reader; history
HackeMusselwhite2018EmpireSenses,book,"F1 Ethics, politics & decolonial smell",A1 Smell studies & critical theory,Empire of the Senses: Sensory Practices of Colonialism in Early America,Daniela Hacke; Paul Musselwhite (eds.),2018,,Brill,,9789004363641,https://brill.com/display/title/34485,Essential for colonial sensorium framing; includes olfactory chapters.,colonialism; senses; edited volume
GouldMcClelland2023AromasOfAsia,book,C3 Global scent histories beyond Eurocentrism,A1 Smell studies & critical theory,"Aromas of Asia: Exchanges, Histories, Threats",Hannah Gould; Gwyn McClelland (eds.),2024,,Penn State University Press,,9780271095417,https://www.psupress.org/books/titles/978-0-271-09541-7.html,Strong counterweight to Eurocentric perfume histories; multi-region smellscapes + heritage/power.,Asia; heritage; history
IAO2025ScentAndSocietyCourse,website,"F2 Community, education & practice networks",B1 Olfactory art & aesthetics,Scent and Society (education resource) – The Institute for Art and Olfaction,The Institute for Art and Olfaction,2025,,,,,https://artandolfaction.com/educationatiao/scent-and-society/,Practical curricular framing to ‘unlearn’ Eurocentric perfume narratives; good collaborator onboarding.,education; decolonial; perfume history
Wilbert1987TobaccoShamanism,book,N1 Tabac: ethnobotanique & rituels,"F1 Ethics, politics & decolonial smell; C3 Global scent histories beyond Eurocentrism",Tobacco and Shamanism in South America,Johannes Wilbert,1987,,Yale University Press,,,https://archive.org/details/tobaccoshamanism0000wilb,Comprehensive ethnography across ~300 societies; key for ‘tabac comme technologie sociale/rituelle’.,tobacco; shamanism; South America
RussellRahman2015MasterPlant,book,N1 Tabac: ethnobotanique & rituels,"F1 Ethics, politics & decolonial smell",The Master Plant: Tobacco in Lowland South America,Andrew Russell; Elizabeth Rahman (eds.),2015,,Bloomsbury Academic / Routledge,10.4324/9781003087052,9781350007390,https://www.routledge.com/The-Master-Plant-Tobacco-in-Lowland-South-America/Russell-Rahman/p/book/9781350007390,"Critical overview of tobacco across lowland South America; bridges ecology, ritual, politics, industry.",tobacco; edited volume; South America
Brandt2007CigaretteCentury,book,"N2 Tabac: industrie, histoire, pouvoir","F1 Ethics, politics & decolonial smell","The Cigarette Century: The Rise, Fall, and Deadly Persistence of the Product That Defined America",Allan M. Brandt,2007,,Basic Books,,9780465070473,https://www.basicbooks.com/titles/allan-m-brandt/the-cigarette-century/9780465070473/,Public health + corporate strategy; useful for ‘tabac’ axis when you discuss modern extraction/branding ethics.,tobacco industry; history; policy
Proctor2011GoldenHolocaust,book,"N2 Tabac: industrie, histoire, pouvoir","F1 Ethics, politics & decolonial smell",Golden Holocaust: Origins of the Cigarette Catastrophe and the Case for Abolition,Robert N. Proctor,2011,,University of California Press,,9780520270169,https://www.ucpress.edu/book/9780520270169/golden-holocaust,Hard-hitting corporate history and regulatory critique; strong for ethics and ‘soft power’ analysis.,tobacco industry; ethics; history
SchultesHofmannRatsch2001PlantsGods,book,N3 Psychoactive ethnobotany (context only),C3 Global scent histories beyond Eurocentrism,"Plants of the Gods: Their Sacred, Healing, and Hallucinogenic Powers",Richard Evans Schultes; Albert Hofmann; Christian Rätsch,2001,,Healing Arts Press,,9780892819799,https://www.innertraditions.com/books/plants-of-the-gods,Classic ethnobotany reference; use for context/terminology (not for ‘how-to’).,ethnobotany; reference
EnriquezEtAl2025ColombiaChemotypes,article,M1 Cannabis: diversité colombienne (chimio/terpènes),J3 AI for olfaction / digital smell; D1 Knowledge graph & datasets,Unveiling Colombia's medicinal Cannabis sativa treasure trove: Phenotypic and Chemotypic diversity in legal cultivation,Diego J. Enríquez; Julio C. Alonso; Lucas Hille; Stefan Brand; Ulrike Holzgrabe; Daniela Vergara; Guillermo Montoya; Yesid A. Ramírez,2025,Phytochemical Analysis,Wiley,10.1002/pca.3436,,https://pubmed.ncbi.nlm.nih.gov/39169651/,156 plants across Colombian eco-regions; measures 10 cannabinoids + 23 terpenes; strong for ‘chemotype atlas’.,Colombia; terpenes; metabolomics
VigilEtAl2023CannabisChemovarIndex,article,M2 Cannabis: standardisation & nomenclature,D1 Knowledge graph & datasets,The cannabis chemovar nomenclature: the CANNabinoid and TERpene index (CANTER) as a tool for chemovar classification,Diana Vigil et al.,2023,Cannabis and Cannabinoid Research,Mary Ann Liebert,10.1089/can.2022.0188,,https://www.liebertpub.com/doi/10.1089/can.2022.0188,Useful to design PERFUMUM’s data schema: stable IDs for chemovars based on cannabinoids+terpenes.,chemovar; taxonomy; schema
Birenboim2023CannabisPhytochemistry,article,M3 Cannabis: phytochemistry & biosynthesis,J3 AI for olfaction / digital smell,Phytochemistry and biosynthesis of cannabinoids and terpenoids in Cannabis sativa,Maya Birenboim; Efraim Lewinsohn; Einat Berman,2023,Phytochemistry,Elsevier,10.1016/j.phytochem.2022.113215,,https://www.sciencedirect.com/science/article/pii/S0031942222002353,Compact biosynthesis + regulation; good for ‘genomique olfactive’ narratives.,biosynthesis; cannabinoids; terpenoids
BembibreStrlic2017SmellOfHeritage,article,E2 Heritage science: documentation & analysis,"C1 Olfactory heritage & computational humanities; D2 Methods (field, mapping, participatory)","Smell of heritage: a framework for the identification, analysis and archival of historic odours",Cecilia Bembibre; Matija Strlič,2017,Heritage Science,Springer Nature,10.1186/s40494-016-0114-1,,https://www.nature.com/articles/s40494-016-0114-1,Seminal framework + 'Historic Book Odour Wheel'; directly relevant to your archival schema.,heritage science; odor wheel; framework
XiaoAlettaRadicchi2022OlfactoryHeritageOverview,article,C1 Olfactory heritage & computational humanities,"B2 Smell in space, design & urban smellscapes; E2 Heritage science: documentation & analysis",From Smelly Buildings to the Scented Past: An Overview of Olfactory Heritage,Jing Xiao; Francesco Aletta; Antonella Radicchi,2022,Frontiers in Psychology,Frontiers,10.3389/fpsyg.2021.718287,,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.718287/full,Interdisciplinary overview + system dynamics lens; good umbrella cite for your entire program.,overview; olfactory heritage
LisenaEtAl2022OdeuropaDataModel,conference_paper,D1 Knowledge graph & datasets,C1 Olfactory heritage & computational humanities,The Odeuropa Data Model for Olfactory Heritage Information,Pasquale Lisena et al.,2022,ESWC 2022 (Extended Semantic Web Conference),Springer,,,https://2022.eswc-conferences.org/wp-content/uploads/2022/05/paper_136_Lisena_et_al.pdf,"Key reference for KG schema: entities (smells, sources, contexts) + provenance.",knowledge graph; data model; schema
CulturalHeritageHeadspace2020ArchaeologyStink,article,E2 Heritage science: documentation & analysis,C1 Olfactory heritage & computational humanities,Does Archaeology Stink? Detecting Smell in the Past Using Gas Chromatography–Mass Spectrometry,(see article),2020,Journal of Archaeological Method and Theory,Springer,10.1007/s10761-020-00552-w,,https://link.springer.com/article/10.1007/s10761-020-00552-w,Method argument for headspace/GC-MS on archaeological remains; good for your lab protocol chapters.,archaeology; GC-MS; headspace
SAGE2024SensoryDocumentationProtocol,article,"D2 Methods (field, mapping, participatory)",E1 Museum protocols & olfactory museology,The Identification and Documentation of On-site Sensory and Multisensory Experiences: A Methodological Protocol,(see article),2024,Field Methods,SAGE,10.1177/1525822X241254287,,https://journals.sagepub.com/doi/10.1177/1525822X241254287,"General protocol that can be adapted for smellscapes, installations, and citizen-science.",protocol; ethnography; multisensory
Zenodo2024OlfactoryHeritageToolkit,report,E1 Museum protocols & olfactory museology,C1 Olfactory heritage & computational humanities,Olfactory Heritage Toolkit (publication PDF),Odeuropa,2024,,Zenodo,,,https://zenodo.org/records/10775277/files/Olfactory%20Heritage%20Toolkit_Publication.pdf?download=1,Single PDF bundling museum-oriented methods and examples; perfect to share with collaborators.,toolkit; PDF; museums
DOS2024WorldCongressAbstracts,report,J3 AI for olfaction / digital smell,J2 VR olfactive & multisensory interfaces,World Congress of the Digital Olfaction Society 2024 – Abstracts Book,Digital Olfaction Society,2024,,Digital Olfaction Society,,,https://www.digitalolfactionsociety.org/congress/2024/abstractsbook/,Snapshot of cutting-edge digital smell research themes; good for ‘veille’ and partner scouting.,conference; digital olfaction
ACM2024SensingHeritageWorkshop,conference_paper,J2 VR olfactive & multisensory interfaces,C1 Olfactory heritage & computational humanities,Sensing Heritage: Exploring Creative Approaches for Capturing and Experiencing the Rich Sensory Aspects of Heritage (workshop paper),(see ACM paper),2024,ACM Digital Heritage / related venue,ACM,10.1145/3656156.3658400,,https://dl.acm.org/doi/fullHtml/10.1145/3656156.3658400,HCI/heritage bridge: design patterns for sensory capture and re-experience.,HCI; heritage; workshop
KNAW2021NoseFirstDigitalArtHistory,chapter,C1 Olfactory heritage & computational humanities,D1 Knowledge graph & datasets; B1 Olfactory art & aesthetics,Nose-first: Towards an Olfactory Gaze for Digital Art History,(see publication record),2021,,,,,https://pure.knaw.nl/portal/en/publications/nose-first-towards-an-olfactory-gaze-for-digital-art-history-2,Conceptual bridge between digital art history and olfactory heritage mining.,digital art history; smell mining
AmsterdamMuseum2024CraftingIntentionalScents,report,E1 Museum protocols & olfactory museology,B1 Olfactory art & aesthetics,Crafting Intentional Scents: Enriching Cultural Heritage with Educational Olfactory Reproductions (PDF),Sofia Collette Ehrich,2024,,Amsterdam Museum (assets),,,https://assets.amsterdammuseum.nl/downloads/Crafting-Intentional-Scents_Sofia-Collette-Ehrich-1753812641.pdf,Methods for educational scent reproductions and critical engagement in galleries.,education; reproductions; museum
