reference_id,title,authors,year,type,venue,doi,url,tags,notes
ref-doi-10-3390-molecules24010203,Biosynthetic Gene Content of the ‘Perfume Lichens’ Evernia prunastri and Pseudevernia furfuracea,"Calchera, A.; Dal Grande, F.; Bode, H.B.; Schmitt, I.",2019,journal-article,Molecules,10.3390/molecules24010203,https://doi.org/10.3390/molecules24010203,oakmoss;evernia;lichen;genome-mining;BGC;perfumery,BGC lichen-forming fungi — base pour substances d’écorce (depsides/depsidones) et allergènes.
ref-ttl-enzymatic-cascade-biosynthesis-reaction-of-musky,Enzymatic cascade biosynthesis reaction of musky macrolactones from fatty acids,(voir article),2019,journal-article,International Journal of Biological Macromolecules,,https://www.sciencedirect.com/science/article/abs/pii/S0141022919301553,macrocyclic-musks;biocatalysis;P450;lipase;green-chemistry,Cascade enzymatique P450 + lipase pour macrolactones musquées (alternatives biosourcées).
ref-doi-10-1021-acsomega-9b00242,Identification of Zizaene Synthase Catalyzing the Key Step in (−)-Zizaene Biosynthesis from Vetiver Oil,"Cai, J.; et al.",2019,journal-article,ACS Omega,10.1021/acsomega.9b00242,https://doi.org/10.1021/acsomega.9b00242,vetiver;zizaene;sesquiterpene-synthase;biosynthesis;odorants,Enzyme clé pour un sesquiterpène signature du vétiver.
ref-doi-10-3390-genes10050392,Leaf Transcriptome Assembly of Protium copal (Burseraceae) and Annotation of Terpene Biosynthetic Genes,"Damasco, G.; Shivakumar, V.S.; Misciewicz, T.M.; Daly, D.C.; Fine, P.V.A.",2019,journal-article,Genes,10.3390/genes10050392,https://doi.org/10.3390/genes10050392,copal;protium;resin;transcriptome;terpene-genes;incense,Ressource transcriptome pour résines/copals (routes terpéniques comparatives).
ref-doi-10-1104-pp-17-01764,Multi-Omics Driven Assembly and Annotation of the Sandalwood (Santalum album) Genome,"Mahesh, H.B.; et al.",2018,journal-article,Plant Physiology,10.1104/pp.17.01764,https://doi.org/10.1104/pp.17.01764,sandalwood;santalum;genome;multi-omics;annotation;oil-biosynthesis,Génome + annotation via multi-omics; base pour cartographier gènes de terpènes/santalols.
ref-doi-10-1039-c7cs00431a,Secondary metabolism in the lichen symbiosis,"Calcott, M.J.; Ackerley, D.F.; Knight, A.; Keyzers, R.A.; Owen, J.G.",2018,journal-article,Chemical Society Reviews,10.1039/C7CS00431A,https://doi.org/10.1039/C7CS00431A,lichen;secondary-metabolism;review;natural-products;perfumery,Revue de référence sur métabolisme secondaire des lichens (cadre pour exploration de molécules rares).
ref-doi-10-1038-s41588-018-0110-3,The Rosa chinensis genome provides insights into the evolution of modern roses and the domestication of roses,"Hibrand Saint-Oyant, L.; et al.",2018,journal-article,Nature Genetics,10.1038/s41588-018-0110-3,https://doi.org/10.1038/s41588-018-0110-3,rose;rosa;genome;domestication;floral-scent;terpenes,"Base génomique pour roses (potentiel: gènes scent/terpénoïdes, cultivars historiques)."
ref-doi-10-1038-s41438-018-0108-0,The chromosome-level quality genome provides insights into the evolution of the biosynthesis genes for aroma compounds of Osmanthus fragrans,"Yang, X.; Yue, Y.; Li, H.; et al.",2018,journal-article,Horticulture Research,10.1038/s41438-018-0108-0,https://doi.org/10.1038/s41438-018-0108-0,osmanthus;genome;aroma;beta-ionone;CCD4;floral-scent,"Génome + évolution gènes arôme (β‑ionone, caroténoïdes)."
ref-doi-10-3390-molecules20010384,Characterization of Ambrette Seed Oil and Its Mode of Action in Bacteria,"Gowri, S.S.; et al.",2015,journal-article,Molecules,10.3390/molecules20010384,https://doi.org/10.3390/molecules20010384,ambrette;abelmoschus;ambrettolide;seed-oil;GC-MS;plant-musk,Profil GC-MS ambrette: ambrettolide + farnesyl acetates (matière première musquée végétale).
ref-doi-10-1093-jxb-erv196,Isolation of cDNAs encoding S-adenosyl-L-methionine:benzoic acid carboxyl methyltransferase from Cananga odorata flowers,"Effmert, U.; et al.",2015,journal-article,Journal of Experimental Botany,10.1093/jxb/erv196,https://doi.org/10.1093/jxb/erv196,ylang-ylang;cananga;methyltransferase;benzoate-methyl;floral-scent,Approche gène→molécule sur biosynthèse d’esters/méthylés contribuant à la fragrance.
ref-doi-10-3390-s140304428,Analytical Methods for Chemical and Sensory Characterization of Scent Markings in Wild Mammals,"Hurst, J.L.; Beynon, R.J.; et al.",2014,journal-article,Sensors,10.3390/s140304428,https://doi.org/10.3390/s140304428,animal;secretions;GC-MS;olfaction;review;ethics,Revue méthodes GC/LC + échantillonnage; utile pour civet/musk/castoreum (cadre analytique).
ref-ttl-fragrance-biosynthesis-in-sandalwood-from-genes-,Fragrance biosynthesis in sandalwood: from genes to oils,"Jones, C.G.; Moniodis, J.; et al.",2012,journal-article,(review / perspective),,,sandalwood;Santalum;review;sesquiterpenes;biosynthesis,Revue/overview sur la biosynthèse des sesquiterpènes du santal (à compléter avec source exacte si besoin).
ref-doi-10-1074-jbc-m111-231787,Sesquiterpene synthases responsible for sandalwood oil biosynthesis in Santalum album,"Jones, C.G.; Keeling, C.I.; et al.",2011,journal-article,Journal of Biological Chemistry,10.1074/jbc.M111.231787,https://doi.org/10.1074/jbc.M111.231787,sandalwood;santalum;sesquiterpene-synthase;alpha-santalol;biosynthesis,Caractérisation d’enzymes clés impliquées dans la production des principaux odorants du santal.
ref-doi-10-1007-bf02540473,Synthesis of civetone from palm oil products,(voir article),1994,journal-article,Journal of the American Oil Chemists’ Society,10.1007/BF02540473,https://doi.org/10.1007/BF02540473,civetone;macrocyclic-musk;biobased;olefin;industrial,Voie de synthèse biobased (huile de palme/oléate) — pertinent pour alternatives éthiques.
ref-doi-10-1002-pca-2800040407,Analysis of constituents of Iris rhizomes. Part I: High performance liquid chromatography and capillary gas chromatography-mass spectrometry of irones,(voir article),1992,journal-article,Phytochemical Analysis,10.1002/pca.2800040407,https://doi.org/10.1002/pca.2800040407,orris;iris;irones;GC-MS;HPLC;historical-materials,Référence analytique sur irones (cœur 'violette/orris') — utile pour comparaisons lots anciens/modernes.
ref-ttl-neutral-compounds-from-male-castoreum-of-north-a,"Neutral compounds from male castoreum of North American beaver, Castor canadensis","Bollinger, P.E.; Vandegrift, G.F.",1984,journal-article,Journal of Chromatography A,,https://pubs.acs.org/doi/10.1021/ac60269a048,castoreum;beaver;GC-MS;macrocycles;phenolics,Analyse chromatographique des composés neutres (utile pour ‘profil’ castoreum; DOI sur page ACS liée).
