plant_latin_name,plant_common_name,molecule_name,percentage_typical,role,is_signature,evidence,notes
Zingiber officinale,Gingembre,beta-sesquiphellandrene,15,majeur,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Gingembre
Zingiber officinale,Gingembre,ar-curcumene,10,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Gingembre
Zingiber officinale,Gingembre,alpha-farnesene,5,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Gingembre
Zingiber officinale,Gingembre,camphene,8,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Gingembre
Zingiber officinale,Gingembre,"1,8-cineole",3,trace,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Gingembre
Zingiber officinale,Gingembre,gingerol,2,trace,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Gingembre
Cinnamomum verum,Cannelle de Ceylan,cinnamaldehyde,75,majeur,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Cannelle de Ceylan
Cinnamomum verum,Cannelle de Ceylan,eugenol,8,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Cannelle de Ceylan
Cinnamomum verum,Cannelle de Ceylan,linalool,5,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Cannelle de Ceylan
Cinnamomum verum,Cannelle de Ceylan,beta-caryophyllene,3,trace,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Cannelle de Ceylan
Cinnamomum verum,Cannelle de Ceylan,cinnamyl acetate,2,trace,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Cannelle de Ceylan
Syzygium aromaticum,Clou de girofle,eugenol,85,majeur,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Clou de girofle
Syzygium aromaticum,Clou de girofle,eugenyl acetate,8,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Clou de girofle
Syzygium aromaticum,Clou de girofle,beta-caryophyllene,5,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Clou de girofle
Syzygium aromaticum,Clou de girofle,alpha-humulene,1,trace,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Clou de girofle
Thymus vulgaris,Thym,thymol,45,majeur,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Thym
Thymus vulgaris,Thym,p-cymene,20,majeur,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Thym
Thymus vulgaris,Thym,gamma-terpinene,10,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Thym
Thymus vulgaris,Thym,carvacrol,5,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Thym
Thymus vulgaris,Thym,linalool,3,trace,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Thym
Thymus vulgaris,Thym,borneol,2,trace,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Thym
Origanum vulgare,Origan,carvacrol,65,majeur,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Origan
Origanum vulgare,Origan,thymol,5,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Origan
Origanum vulgare,Origan,p-cymene,8,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Origan
Origanum vulgare,Origan,gamma-terpinene,5,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Origan
Origanum vulgare,Origan,beta-caryophyllene,3,trace,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Origan
Ocimum basilicum,Basilic,linalool,55,majeur,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Basilic
Ocimum basilicum,Basilic,methyl chavicol,20,majeur,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Basilic
Ocimum basilicum,Basilic,eugenol,8,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Basilic
Ocimum basilicum,Basilic,"1,8-cineole",5,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Basilic
Ocimum basilicum,Basilic,beta-caryophyllene,2,trace,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Basilic
Salvia sclarea,Sauge sclarée,linalyl acetate,65,majeur,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Sauge sclarée
Salvia sclarea,Sauge sclarée,linalool,15,majeur,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Sauge sclarée
Salvia sclarea,Sauge sclarée,sclareol,3,secondaire,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Sauge sclarée
Salvia sclarea,Sauge sclarée,germacrene D,5,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Sauge sclarée
Salvia sclarea,Sauge sclarée,alpha-terpineol,2,trace,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Sauge sclarée
Pelargonium graveolens,Géranium rosat,citronellol,30,majeur,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Géranium rosat
Pelargonium graveolens,Géranium rosat,geraniol,15,majeur,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Géranium rosat
Pelargonium graveolens,Géranium rosat,citronellyl formate,10,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Géranium rosat
Pelargonium graveolens,Géranium rosat,linalool,8,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Géranium rosat
Pelargonium graveolens,Géranium rosat,isomenthone,5,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Géranium rosat
Pelargonium graveolens,Géranium rosat,geranyl formate,3,trace,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Géranium rosat
Pelargonium graveolens,Géranium rosat,rose oxide,0.5,trace,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Géranium rosat
Citrus aurantium,Néroli (Bigarade),linalool,35,majeur,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Néroli (Bigarade)
Citrus aurantium,Néroli (Bigarade),limonene,15,majeur,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Néroli (Bigarade)
Citrus aurantium,Néroli (Bigarade),linalyl acetate,8,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Néroli (Bigarade)
Citrus aurantium,Néroli (Bigarade),nerolidol,5,secondaire,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Néroli (Bigarade)
Citrus aurantium,Néroli (Bigarade),alpha-terpineol,4,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Néroli (Bigarade)
Citrus aurantium,Néroli (Bigarade),geraniol,3,trace,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Néroli (Bigarade)
Citrus aurantium,Néroli (Bigarade),indole,0.1,trace,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Néroli (Bigarade)
Citrus aurantium var. amara,Petit grain bigarade,linalyl acetate,50,majeur,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Petit grain bigarade
Citrus aurantium var. amara,Petit grain bigarade,linalool,25,majeur,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Petit grain bigarade
Citrus aurantium var. amara,Petit grain bigarade,alpha-terpineol,5,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Petit grain bigarade
Citrus aurantium var. amara,Petit grain bigarade,geranyl acetate,3,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Petit grain bigarade
Citrus aurantium var. amara,Petit grain bigarade,myrcene,2,trace,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Petit grain bigarade
Pinus sylvestris,Pin sylvestre,alpha-pinene,45,majeur,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Pin sylvestre
Pinus sylvestris,Pin sylvestre,beta-pinene,25,majeur,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Pin sylvestre
Pinus sylvestris,Pin sylvestre,delta-3-carene,10,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Pin sylvestre
Pinus sylvestris,Pin sylvestre,limonene,5,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Pin sylvestre
Pinus sylvestris,Pin sylvestre,bornyl acetate,3,trace,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Pin sylvestre
Pinus sylvestris,Pin sylvestre,camphene,2,trace,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Pin sylvestre
Cupressus sempervirens,Cyprès toujours vert,alpha-pinene,50,majeur,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Cyprès toujours vert
Cupressus sempervirens,Cyprès toujours vert,delta-3-carene,20,majeur,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Cyprès toujours vert
Cupressus sempervirens,Cyprès toujours vert,cedrol,5,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Cyprès toujours vert
Cupressus sempervirens,Cyprès toujours vert,limonene,3,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Cyprès toujours vert
Cupressus sempervirens,Cyprès toujours vert,terpinolene,2,trace,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Cyprès toujours vert
Juniperus communis,Genévrier commun,alpha-pinene,40,majeur,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Genévrier commun
Juniperus communis,Genévrier commun,myrcene,15,majeur,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Genévrier commun
Juniperus communis,Genévrier commun,sabinene,10,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Genévrier commun
Juniperus communis,Genévrier commun,limonene,5,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Genévrier commun
Juniperus communis,Genévrier commun,terpinen-4-ol,3,trace,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Genévrier commun
Juniperus communis,Genévrier commun,beta-pinene,2,trace,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Genévrier commun
Melaleuca alternifolia,Tea tree,terpinen-4-ol,40,majeur,1,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Tea tree
Melaleuca alternifolia,Tea tree,gamma-terpinene,20,majeur,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Tea tree
Melaleuca alternifolia,Tea tree,alpha-terpinene,10,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Tea tree
Melaleuca alternifolia,Tea tree,"1,8-cineole",5,secondaire,0,"littérature scientifique (EssOilDB, AromaDb)",Composition typique de l'huile essentielle de Tea tree
